id,label,interactions
unknown person A (HOUSE_OVERSIGHT_027762) (HOUSE_OVERSIGHT_027762),unknown person A (HOUSE_OVERSIGHT_027762) (HOUSE_OVERSIGHT_027762),2
POTUS,POTUS,3
unknown person A (HOUSE_OVERSIGHT_030414) (HOUSE_OVERSIGHT_030414),unknown person A (HOUSE_OVERSIGHT_030414) (HOUSE_OVERSIGHT_030414),1
unknown person (HOUSE_OVERSIGHT_027757),unknown person (HOUSE_OVERSIGHT_027757),1
unknown person A (HOUSE_OVERSIGHT_031191) (HOUSE_OVERSIGHT_031191),unknown person A (HOUSE_OVERSIGHT_031191) (HOUSE_OVERSIGHT_031191),2
New York Times article about Michael Wolff's Trump book review,New York Times article about Michael Wolff's Trump book review,1
Trump administration personnel appointments,Trump administration personnel appointments,1
Michael Wolff's book Siege,Michael Wolff's book Siege,1
financial matters,financial matters,1
self-harm or faked death,self-harm or faked death,1
feedback on content quality,feedback on content quality,1
Harvey Weinstein,Harvey Weinstein,5
Palm Beach house sale,Palm Beach house sale,1
state charge of procuring minor for prostitution,state charge of procuring minor for prostitution,1
Trump and Nikki Haley,Trump and Nikki Haley,1
mile,mile,1
distance,distance,1
wall,wall,1
media appearance and activities,media appearance and activities,1
political and financial developments,political and financial developments,1
unknown person A (HOUSE_OVERSIGHT_027743),unknown person A (HOUSE_OVERSIGHT_027743),3
Siege by Michael Wolff,Siege by Michael Wolff,1
Theresa May,Theresa May,1
cryptocurrency article,cryptocurrency article,1
British pound currency and Brexit,British pound currency and Brexit,1
policy language,policy language,1
Ei iy,Ei iy,1
mood,mood,1
DDay,DDay,1
unknown person (HOUSE_OVERSIGHT_027722) (HOUSE_OVERSIGHT_027722),unknown person (HOUSE_OVERSIGHT_027722) (HOUSE_OVERSIGHT_027722),29
dog,dog,1
Tom Friedman,Tom Friedman,4
Chuck Schumer,Chuck Schumer,1
financial system,financial system,1
Santa Fe,Santa Fe,1
Queen???s Norfolk estate,Queen???s Norfolk estate,1
propaganda,propaganda,1
party,party,1
currency devaluation,currency devaluation,2
unprecedented action,unprecedented action,1
currency plan,currency plan,1
Deutsche Bank subpoena and court ruling,Deutsche Bank subpoena and court ruling,1
Donald Trump and legal proceedings,Donald Trump and legal proceedings,1
market compliance and regulation,market compliance and regulation,1
Tom Friedman and Xi Jinping,Tom Friedman and Xi Jinping,1
Bristol Hotel residents,Bristol Hotel residents,2
Eleanor Roosevelt,Eleanor Roosevelt,1
unnamed minor victim,unnamed minor victim,1
Paula,Paula,1
Narendra Modi,Narendra Modi,1
unknown person A (HOUSE_OVERSIGHT_027707) (HOUSE_OVERSIGHT_027707),unknown person A (HOUSE_OVERSIGHT_027707) (HOUSE_OVERSIGHT_027707),1
media/public,media/public,1
NY Senate,NY Senate,1
6 hour Labor Day weekend piece,6 hour Labor Day weekend piece,1
Saudi officials,Saudi officials,1
meeting in Berlin,meeting in Berlin,1
unknown person A (HOUSE_OVERSIGHT_027695) (HOUSE_OVERSIGHT_027695),unknown person A (HOUSE_OVERSIGHT_027695) (HOUSE_OVERSIGHT_027695),32
unknown person A (HOUSE_OVERSIGHT_027694) (HOUSE_OVERSIGHT_027694),unknown person A (HOUSE_OVERSIGHT_027694) (HOUSE_OVERSIGHT_027694),1
Joe Biden,Joe Biden,3
ranch,ranch,1
Virginia Ruffin (VR) allegations,Virginia Ruffin (VR) allegations,1
French media blitz,French media blitz,1
9/71,9/71,1
banks,banks,1
Jacob,Jacob,1
god,god,1
evolution,evolution,1
music,music,1
economics,economics,1
KSA meeting,KSA meeting,1
Noam Chomsky,Noam Chomsky,5
PR group,PR group,1
KSA,KSA,1
Pesner,Pesner,1
island,island,2
Donaldson,Donaldson,1
Andy,Andy,3
Virgin Islands Justice Department,Virgin Islands Justice Department,1
Michael Wolfe,Michael Wolfe,7
computers,computers,1
NYTimes opinion article,NYTimes opinion article,1
Daniel Siad,Daniel Siad,13
FP,FP,3
filming costs,filming costs,1
Industrial Revolution,Industrial Revolution,1
own thoughts,own thoughts,1
Yemen,Yemen,1
Burman Critton Luttier & Coleman LLP,Burman Critton Luttier & Coleman LLP,1
legal case,legal case,1
Mount Sinai Medical Center,Mount Sinai Medical Center,2
the ranch,the ranch,1
recipient regarding cabinet room matter,recipient regarding cabinet room matter,1
economic and mathematical theory,economic and mathematical theory,1
attendance at scheduled event,attendance at scheduled event,1
interview performance,interview performance,1
business deal or project outcome,business deal or project outcome,1
passenger information transmission,passenger information transmission,1
personal appearance preference,personal appearance preference,1
William Barr testimony,William Barr testimony,1
scientists on the island,scientists on the island,1
film production,film production,1
private photographs,private photographs,1
presentation performance,presentation performance,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_025423),unknown person A (TEXT-001-HOUSE_OVERSIGHT_025423),4
Prime Minister,Prime Minister,1
Nick Bostrom,Nick Bostrom,2
F and B interest only,F and B interest only,1
criminal case viability,criminal case viability,1
federal prosecutorial strategy,federal prosecutorial strategy,1
legal proceedings and witness handling,legal proceedings and witness handling,1
scope of investigation,scope of investigation,1
www.edwardjayepstein.com,www.edwardjayepstein.com,1
legal document analysis,legal document analysis,1
John La Porta,John La Porta,3
john la porta,john la porta,1
self,self,1
Patriarchy,Patriarchy,1
smartest plants,smartest plants,1
science conference,science conference,1
unknown person A (HOUSE_OVERSIGHT_027636),unknown person A (HOUSE_OVERSIGHT_027636),2
unknown person A (HOUSE_OVERSIGHT_027635),unknown person A (HOUSE_OVERSIGHT_027635),3
unknown person A (HOUSE_OVERSIGHT_027633),unknown person A (HOUSE_OVERSIGHT_027633),3
unknown person A (HOUSE_OVERSIGHT_027630),unknown person A (HOUSE_OVERSIGHT_027630),1
unknown person A (HOUSE_OVERSIGHT_030462) (HOUSE_OVERSIGHT_030462),unknown person A (HOUSE_OVERSIGHT_030462) (HOUSE_OVERSIGHT_030462),1
George,George,1
unknown person A (HOUSE_OVERSIGHT_027624),unknown person A (HOUSE_OVERSIGHT_027624),3
participants,participants,2
unknown person A (HOUSE_OVERSIGHT_027622),unknown person A (HOUSE_OVERSIGHT_027622),1
unknown person A (HOUSE_OVERSIGHT_027621),unknown person A (HOUSE_OVERSIGHT_027621),4
unknown person A (HOUSE_OVERSIGHT_027620),unknown person A (HOUSE_OVERSIGHT_027620),3
unknown person A (HOUSE_OVERSIGHT_027618),unknown person A (HOUSE_OVERSIGHT_027618),3
Mike Pence,Mike Pence,2
documentary team travel,documentary team travel,1
unknown person A (HOUSE_OVERSIGHT_027595),unknown person A (HOUSE_OVERSIGHT_027595),3
media company structure,media company structure,1
unnamed recipient's associates,unnamed recipient's associates,1
upcoming meeting participants,upcoming meeting participants,1
end of patriarchy as political outcome,end of patriarchy as political outcome,1
unknown person A (HOUSE_OVERSIGHT_027812),unknown person A (HOUSE_OVERSIGHT_027812),2
driver for airport pickup,driver for airport pickup,1
Richard Joslin,Richard Joslin,1
"lebensraum in Australia, Venezuela, and Brazil","lebensraum in Australia, Venezuela, and Brazil",1
Chinese airline delivering supplies to Venezuela,Chinese airline delivering supplies to Venezuela,1
New York Times article about Middle East,New York Times article about Middle East,1
needing assistance with geopolitical position,needing assistance with geopolitical position,1
Mongolian ambassador at Breitbart event,Mongolian ambassador at Breitbart event,1
"Mongolia, Saudi Arabia, Russia, and Kazakhstan","Mongolia, Saudi Arabia, Russia, and Kazakhstan",1
evangelical advocate for China as enemy,evangelical advocate for China as enemy,1
Arab League meeting agenda in Tunis,Arab League meeting agenda in Tunis,1
German officials,German officials,1
unnamed date,unnamed date,1
Elysee Palace,Elysee Palace,2
commercial flight backup for transportation,commercial flight backup for transportation,1
CNBC television appearance at 630 am EST,CNBC television appearance at 630 am EST,1
private plane for transportation from Rome,private plane for transportation from Rome,1
Washington Post article about Trump's financial practices,Washington Post article about Trump's financial practices,1
unknown person A (HOUSE_OVERSIGHT_032604),unknown person A (HOUSE_OVERSIGHT_032604),1
George's disappointment about canceled meeting,George's disappointment about canceled meeting,1
Global Conference 2013 Attendees,Global Conference 2013 Attendees,1
US-India diplomatic developments,US-India diplomatic developments,1
message recipients,message recipients,1
unnamed female associate in NYC,unnamed female associate in NYC,1
unnamed recipient and associates,unnamed recipient and associates,1
unknown person A (HOUSE_OVERSIGHT_032595),unknown person A (HOUSE_OVERSIGHT_032595),7
George in Germany,George in Germany,1
Arab League meeting in Tunis,Arab League meeting in Tunis,2
recruiting American teen hackers against China,recruiting American teen hackers against China,1
Bing search engine,Bing search engine,2
India satellite weapons and cyber warfare,India satellite weapons and cyber warfare,1
Saudi Arabian leadership and social/political implications,Saudi Arabian leadership and social/political implications,1
mystical activities and hands position,mystical activities and hands position,1
Anderson Cooper CNN program,Anderson Cooper CNN program,1
Miro as Europe expert,Miro as Europe expert,1
USD 3.5 million,USD 3.5 million,1
unnamed recipient in Paris,unnamed recipient in Paris,7
arrival of unnamed female associate,arrival of unnamed female associate,1
duration of stay,duration of stay,1
article about Michael Avenatti extortion case,article about Michael Avenatti extortion case,1
criminal penalties under law,criminal penalties under law,1
Mueller Report content,Mueller Report content,1
political movement symbols,political movement symbols,1
Vienna and commented on geopolitical interests,Vienna and commented on geopolitical interests,1
Ambassador's residence as meeting venue,Ambassador's residence as meeting venue,1
Rome with speech plans,Rome with speech plans,1
Slovakia election and female candidate,Slovakia election and female candidate,1
article about Saudi Crown Prince,article about Saudi Crown Prince,1
cancer cure research,cancer cure research,1
unknown person A (HOUSE_OVERSIGHT_032611),unknown person A (HOUSE_OVERSIGHT_032611),9
New York and then to see Miro,New York and then to see Miro,1
Paul Manafort's New York charges,Paul Manafort's New York charges,1
international political strategy,international political strategy,1
unknown person A (HOUSE_OVERSIGHT_027807),unknown person A (HOUSE_OVERSIGHT_027807),2
unspecified subject,unspecified subject,1
documentary release date,documentary release date,1
unknown person A (HOUSE_OVERSIGHT_027591),unknown person A (HOUSE_OVERSIGHT_027591),3
unknown person A (HOUSE_OVERSIGHT_030383) (HOUSE_OVERSIGHT_030383),unknown person A (HOUSE_OVERSIGHT_030383) (HOUSE_OVERSIGHT_030383),1
unknown person (HOUSE_OVERSIGHT_027590),unknown person (HOUSE_OVERSIGHT_027590),2
The Washington Post,The Washington Post,3
Billy Bush,Billy Bush,5
"Daily Beast article on Epstein, Dershowitz, and sex trafficking allegations","Daily Beast article on Epstein, Dershowitz, and sex trafficking allegations",1
legal professionals and commentators,legal professionals and commentators,1
Mueller investigation and Trump obstruction,Mueller investigation and Trump obstruction,1
crisis communications professional,crisis communications professional,1
documentary project,documentary project,1
unknown person A (HOUSE_OVERSIGHT_027585) (HOUSE_OVERSIGHT_027585),unknown person A (HOUSE_OVERSIGHT_027585) (HOUSE_OVERSIGHT_027585),3
employees or associates,employees or associates,1
Philippe,Philippe,1
unknown person A (HOUSE_OVERSIGHT_027580),unknown person A (HOUSE_OVERSIGHT_027580),1
unknown journalist,unknown journalist,1
Andrew Bryant,Andrew Bryant,1
Trump's World Bank President nomination,Trump's World Bank President nomination,1
scientific and technological research,scientific and technological research,1
Darwin's book,Darwin's book,1
plant biology,plant biology,1
unknown person A (HOUSE_OVERSIGHT_027576) (HOUSE_OVERSIGHT_027576),unknown person A (HOUSE_OVERSIGHT_027576) (HOUSE_OVERSIGHT_027576),9
Haberman piece media coverage,Haberman piece media coverage,1
unknown person (HOUSE_OVERSIGHT_027556),unknown person (HOUSE_OVERSIGHT_027556),1
KFC,KFC,1
MBS brother,MBS brother,1
Priceline.com,Priceline.com,2
human trafficking prevention center,human trafficking prevention center,1
political perceptions and witness status,political perceptions and witness status,1
HSBC (Suisse) SA,HSBC (Suisse) SA,3
forced testimony and witness coercion,forced testimony and witness coercion,1
Purevsuren Lundeg,Purevsuren Lundeg,1
Harvard University Institute for Music and Brain Science,Harvard University Institute for Music and Brain Science,2
institutes and scientists,institutes and scientists,1
Gloria Steinem and Marvin Minsky widow,Gloria Steinem and Marvin Minsky widow,1
financial markets,financial markets,1
artist studios,artist studios,1
Senate hearing testimony,Senate hearing testimony,1
island property,island property,2
"Bank of Cyprus, Deutsche Bank, and Wilbur Ross","Bank of Cyprus, Deutsche Bank, and Wilbur Ross",1
local prosecutor,local prosecutor,1
unknown person A (HOUSE_OVERSIGHT_027547),unknown person A (HOUSE_OVERSIGHT_027547),2
unknown person B (HOUSE_OVERSIGHT_027546),unknown person B (HOUSE_OVERSIGHT_027546),2
Iraq diplomats,Iraq diplomats,1
unknown person A (HOUSE_OVERSIGHT_027542),unknown person A (HOUSE_OVERSIGHT_027542),3
unknown person A (HOUSE_OVERSIGHT_027541),unknown person A (HOUSE_OVERSIGHT_027541),1
Cliff Notes,Cliff Notes,1
Xi describes Djt as typical American bully,Xi describes Djt as typical American bully,1
long game,long game,1
brittle key,brittle key,1
'Reform' all happy talk,'Reform' all happy talk,1
reformists,reformists,1
policy approach,policy approach,1
CCP leadership,CCP leadership,1
Weisman,Weisman,2
project,project,2
victim appearance,victim appearance,1
address book,address book,2
victim gag orders and disclosure rights,victim gag orders and disclosure rights,1
soliciting a minor,soliciting a minor,1
settlement terms and victim compensation,settlement terms and victim compensation,1
Daily Beast article on legal settlement,Daily Beast article on legal settlement,1
plane not ready until Tuesday,plane not ready until Tuesday,1
Kennedy School,Kennedy School,1
unknown person A (HOUSE_OVERSIGHT_031040) (HOUSE_OVERSIGHT_031040),unknown person A (HOUSE_OVERSIGHT_031040) (HOUSE_OVERSIGHT_031040),1
Peter Navarro,Peter Navarro,1
Chinese business representatives,Chinese business representatives,1
Misha Grosov,Misha Grosov,2
Mohamed Waheed,Mohamed Waheed,5
HOUSE_OVERSIGHT_027535,HOUSE_OVERSIGHT_027535,1
Eduardo Robles,Eduardo Robles,3
ay,ay,2
Celia Costas,Celia Costas,1
Committee,Committee,1
internal politics,internal politics,1
prime minister,prime minister,3
Slovakia,Slovakia,3
conversation,conversation,1
Abu Dhabi,Abu Dhabi,1
systems thinking in economics,systems thinking in economics,1
Mike Pompeo,Mike Pompeo,10
event,event,2
Thursday,Thursday,1
holiday,holiday,1
cryptocurrency,cryptocurrency,2
Agr 7,Agr 7,1
Idi Amin,Idi Amin,1
Slovakia female leader with NGO experience,Slovakia female leader with NGO experience,1
Alexander Dugin,Alexander Dugin,1
Geovanias,Geovanias,1
scientist,scientist,1
Barrack,Barrack,1
David Geovanis,David Geovanis,1
Ken Lebow,Ken Lebow,1
Lucifer,Lucifer,1
Leon,Leon,3
Spiro,Spiro,1
venues,venues,1
guns,guns,1
Donald Trump campaign committee,Donald Trump campaign committee,1
riot outside,riot outside,1
riot outside gate,riot outside gate,1
Doe v. Trump et al case dismissal,Doe v. Trump et al case dismissal,1
Tr,Tr,3
"Washington, D.C.","Washington, D.C.",1
alleged sexual abuse victims,alleged sexual abuse victims,1
Hungarian group,Hungarian group,1
Benjamin Netanyahu,Benjamin Netanyahu,4
phones,phones,1
Florida State Prison Stockade,Florida State Prison Stockade,1
David Davis,David Davis,1
Jacob Rees-Mogg,Jacob Rees-Mogg,1
solicitation of prostitution and procuring minors,solicitation of prostitution and procuring minors,1
Michael Gove,Michael Gove,1
recipient's girl's arrival,recipient's girl's arrival,1
Boris Johnson,Boris Johnson,2
unknown persons,unknown persons,2
Theresa,Theresa,1
fiat guy,fiat guy,1
AD,AD,3
unknown law enforcement officer,unknown law enforcement officer,1
Sean,Sean,1
soldiers,soldiers,1
jet charter,jet charter,1
Leah Pisar,Leah Pisar,1
travel agent,travel agent,1
plane arrangement,plane arrangement,1
David Copperfield,David Copperfield,1
Jabor,Jabor,3
Lilly Ann Sanchez,Lilly Ann Sanchez,1
Christine Blasey Ford,Christine Blasey Ford,1
Maxine Waters,Maxine Waters,1
Turkey,Turkey,1
Crown Prince MBS,Crown Prince MBS,5
unknown person A (HOUSE_OVERSIGHT_027452) (HOUSE_OVERSIGHT_027452),unknown person A (HOUSE_OVERSIGHT_027452) (HOUSE_OVERSIGHT_027452),5
internet regression to the mean,internet regression to the mean,1
world's fair pavilion,world's fair pavilion,1
Benton Lebow,Benton Lebow,1
great opportunity,great opportunity,1
Prinz,Prinz,1
Oleg Deripaska,Oleg Deripaska,1
Nader,Nader,1
Zamel,Zamel,1
book,book,7
unknown person A (HOUSE_OVERSIGHT_031177) (HOUSE_OVERSIGHT_031177),unknown person A (HOUSE_OVERSIGHT_031177) (HOUSE_OVERSIGHT_031177),1
New York Times article,New York Times article,3
unknown person A (HOUSE_OVERSIGHT_027440) (HOUSE_OVERSIGHT_027440),unknown person A (HOUSE_OVERSIGHT_027440) (HOUSE_OVERSIGHT_027440),9
unknown person A (HOUSE_OVERSIGHT_027437),unknown person A (HOUSE_OVERSIGHT_027437),3
unknown person A (HOUSE_OVERSIGHT_027436),unknown person A (HOUSE_OVERSIGHT_027436),3
unknown person A (HOUSE_OVERSIGHT_027435),unknown person A (HOUSE_OVERSIGHT_027435),3
witness memory gaps,witness memory gaps,1
unknown person A (HOUSE_OVERSIGHT_027434) (HOUSE_OVERSIGHT_027434),unknown person A (HOUSE_OVERSIGHT_027434) (HOUSE_OVERSIGHT_027434),14
unknown person (HOUSE_OVERSIGHT_027433),unknown person (HOUSE_OVERSIGHT_027433),1
Neil Gershenfeld,Neil Gershenfeld,4
unknown person (HOUSE_OVERSIGHT_027428) (HOUSE_OVERSIGHT_027428),unknown person (HOUSE_OVERSIGHT_027428) (HOUSE_OVERSIGHT_027428),14
unknown person A (HOUSE_OVERSIGHT_027427),unknown person A (HOUSE_OVERSIGHT_027427),2
personal involvement in legal proceedings,personal involvement in legal proceedings,1
judicial hearing testimony tactics,judicial hearing testimony tactics,1
Barbro's wife choice,Barbro's wife choice,1
Republican Workers Party,Republican Workers Party,1
victim credibility and judicial hearing,victim credibility and judicial hearing,1
unknown person A (HOUSE_OVERSIGHT_027421),unknown person A (HOUSE_OVERSIGHT_027421),4
Gulfstream and Boeing 727,Gulfstream and Boeing 727,1
unknown person A (HOUSE_OVERSIGHT_027419),unknown person A (HOUSE_OVERSIGHT_027419),3
Italy,Italy,1
upcoming travel plans,upcoming travel plans,1
Oslo play,Oslo play,1
Rob Porter,Rob Porter,1
Gary Cohn,Gary Cohn,1
unknown person (HOUSE_OVERSIGHT_027408),unknown person (HOUSE_OVERSIGHT_027408),3
unknown person A (HOUSE_OVERSIGHT_027406) (HOUSE_OVERSIGHT_027406),unknown person A (HOUSE_OVERSIGHT_027406) (HOUSE_OVERSIGHT_027406),37
Kolfage,Kolfage,1
planned_meeting,planned_meeting,2
private residence,private residence,1
unknown person A (HOUSE_OVERSIGHT_027397),unknown person A (HOUSE_OVERSIGHT_027397),2
JEEPROJECT@Yahoo.com,JEEPROJECT@Yahoo.com,1
unknown person A (HOUSE_OVERSIGHT_027396) (HOUSE_OVERSIGHT_027396),unknown person A (HOUSE_OVERSIGHT_027396) (HOUSE_OVERSIGHT_027396),8
unknown person A (HOUSE_OVERSIGHT_027394),unknown person A (HOUSE_OVERSIGHT_027394),3
underage girls with other persons,underage girls with other persons,1
unknown person A (HOUSE_OVERSIGHT_027393),unknown person A (HOUSE_OVERSIGHT_027393),2
unknown person (HOUSE_OVERSIGHT_027392),unknown person (HOUSE_OVERSIGHT_027392),4
Mayo Clinic staff member,Mayo Clinic staff member,1
discussion meeting with communication method,discussion meeting with communication method,1
unknown person A (HOUSE_OVERSIGHT_027383),unknown person A (HOUSE_OVERSIGHT_027383),3
Alan Loeb,Alan Loeb,2
unknown person (HOUSE_OVERSIGHT_027382),unknown person (HOUSE_OVERSIGHT_027382),4
Nazi propaganda film reference,Nazi propaganda film reference,1
Chinese political governance,Chinese political governance,1
alternate incarceration facilities,alternate incarceration facilities,1
financial matter,financial matter,1
Microsoft products and policy coordination,Microsoft products and policy coordination,1
China's weaponization of consumer goods,China's weaponization of consumer goods,1
Venice Film Festival,Venice Film Festival,1
underage girls and celebrity associates,underage girls and celebrity associates,1
unknown person A (HOUSE_OVERSIGHT_027374) (HOUSE_OVERSIGHT_027374),unknown person A (HOUSE_OVERSIGHT_027374) (HOUSE_OVERSIGHT_027374),37
unknown person (PF) (HOUSE_OVERSIGHT_027369),unknown person (PF) (HOUSE_OVERSIGHT_027369),2
unknown person A (HOUSE_OVERSIGHT_027368),unknown person A (HOUSE_OVERSIGHT_027368),1
China-Persia-Turkey economic situation,China-Persia-Turkey economic situation,1
Turkish lira,Turkish lira,1
Henry Kissinger,Henry Kissinger,3
Ethiopia-Eritrea peace,Ethiopia-Eritrea peace,1
Sergei Lavrov,Sergei Lavrov,2
Sheikh Hamad of Qatar delegation,Sheikh Hamad of Qatar delegation,1
CSIS,CSIS,2
Vladimir Putin,Vladimir Putin,4
Libya,Libya,1
unknown person A (HOUSE_OVERSIGHT_029113) (HOUSE_OVERSIGHT_029113),unknown person A (HOUSE_OVERSIGHT_029113) (HOUSE_OVERSIGHT_029113),7
Persia,Persia,1
Abraaj could secure meeting with Bill Gates,Abraaj could secure meeting with Bill Gates,1
Turkish currency markets,Turkish currency markets,1
Dr. Kruger,Dr. Kruger,2
Jeffrey Epstein Science website,Jeffrey Epstein Science website,1
"Cohen, Weisselburg, Pecker","Cohen, Weisselburg, Pecker",1
unknown person A (HOUSE_OVERSIGHT_032542),unknown person A (HOUSE_OVERSIGHT_032542),1
Nice,Nice,1
underage girl exploitation,underage girl exploitation,1
unknown person A (HOUSE_OVERSIGHT_027354),unknown person A (HOUSE_OVERSIGHT_027354),1
Nancy Pelosi,Nancy Pelosi,2
unknown person A (HOUSE_OVERSIGHT_027352),unknown person A (HOUSE_OVERSIGHT_027352),4
projection of winning versus destruction,projection of winning versus destruction,1
Jane Doe 102 (HOUSE_OVERSIGHT_030999) (HOUSE_OVERSIGHT_030999),Jane Doe 102 (HOUSE_OVERSIGHT_030999) (HOUSE_OVERSIGHT_030999),2
literary/film analysis,literary/film analysis,1
alleged female victims,alleged female victims,1
"Don Jr., perjury, Congress, Matt Calamari, Trump, Roy Moore","Don Jr., perjury, Congress, Matt Calamari, Trump, Roy Moore",1
Financial Times article,Financial Times article,1
Macron's romantic partner,Macron's romantic partner,1
legal exposure principle,legal exposure principle,1
recordings or evidence,recordings or evidence,1
online education,online education,1
Lanny,Lanny,1
jabor,jabor,1
David Koch,David Koch,2
Koch Brothers,Koch Brothers,1
annual high-level summit or conference,annual high-level summit or conference,1
"Donald Trump, Michael Cohen, David Pecker","Donald Trump, Michael Cohen, David Pecker",1
"Ethiopia, Eritrea","Ethiopia, Eritrea",3
child rapist meets nitwits intellectual,child rapist meets nitwits intellectual,1
"Michael Cohen, David Pecker","Michael Cohen, David Pecker",1
Daily Wire article on Republican polling,Daily Wire article on Republican polling,1
Japanese yen,Japanese yen,1
unknown political figure,unknown political figure,1
YouTube video,YouTube video,1
politics,politics,1
Zuckerman,Zuckerman,1
Elizabeth,Elizabeth,2
article about Biosphere 2,article about Biosphere 2,1
Mister Bone Saw,Mister Bone Saw,1
Stanley,Stanley,1
undefined communication,undefined communication,1
Fred Sanford,Fred Sanford,1
unknown person A (HOUSE_OVERSIGHT_027332) (HOUSE_OVERSIGHT_027332),unknown person A (HOUSE_OVERSIGHT_027332) (HOUSE_OVERSIGHT_027332),1
unknown person A (HOUSE_OVERSIGHT_027330) (HOUSE_OVERSIGHT_027330),unknown person A (HOUSE_OVERSIGHT_027330) (HOUSE_OVERSIGHT_027330),4
Stefan Halper,Stefan Halper,4
attorney-client privileged information,attorney-client privileged information,2
Chevron,Chevron,1
administrative state,administrative state,1
Saudi money is locked in private???equity funds,Saudi money is locked in private???equity funds,1
commercial charter flight,commercial charter flight,1
Pakistani prime minister,Pakistani prime minister,1
Dutch television,Dutch television,1
Cruz,Cruz,1
Starr,Starr,2
Brussels,Brussels,2
Bronshtein,Bronshtein,1
communication content,communication content,4
Kruger,Kruger,1
Ms Miller,Ms Miller,5
states on Tuesday,states on Tuesday,1
smells,smells,1
free markets,free markets,1
Angela Merkel,Angela Merkel,4
Bronx,Bronx,1
Stefan Halper meeting,Stefan Halper meeting,1
Sean Hannity,Sean Hannity,7
news articles about Middle East policy,news articles about Middle East policy,1
Sebastian Kurz,Sebastian Kurz,1
unknown person A (HOUSE_OVERSIGHT_027307) (HOUSE_OVERSIGHT_027307),unknown person A (HOUSE_OVERSIGHT_027307) (HOUSE_OVERSIGHT_027307),7
Washington Post article,Washington Post article,2
Republican Party,Republican Party,1
his head,his head,1
optics,optics,1
legal opinion,legal opinion,1
McMasters,McMasters,3
house intel,house intel,1
Conti,Conti,1
Management Company,Management Company,1
Mohammed bin Zayed,Mohammed bin Zayed,2
Bannon's deputy,Bannon's deputy,1
printing and distribution,printing and distribution,1
PY,PY,3
Kim,Kim,1
Ms. Miller,Ms. Miller,2
Catholic school girl,Catholic school girl,1
Viktor Orban,Viktor Orban,1
news article about White House lawyer departure,news article about White House lawyer departure,1
Sebastian,Sebastian,1
Eduardo,Eduardo,2
meeting timing,meeting timing,1
crime fraud,crime fraud,1
Cohen office,Cohen office,1
him,him,2
Urban,Urban,2
Larsen,Larsen,1
The Naked Emperor,The Naked Emperor,1
former Soros partner,former Soros partner,1
Kudlow,Kudlow,2
SKB,SKB,1
Lionel,Lionel,1
David,David,4
TT,TT,4
Eurabia,Eurabia,1
Hungary,Hungary,1
head of NATO,head of NATO,1
meeting location,meeting location,1
Russian government,Russian government,2
John R. Bolton,John R. Bolton,3
Larry Kudlow,Larry Kudlow,1
massage arrangements with minors,massage arrangements with minors,1
US government,US government,1
prostitution charge conviction,prostitution charge conviction,1
closet,closet,1
Jake Gittes,Jake Gittes,1
World Bank meeting and John Kerry,World Bank meeting and John Kerry,1
Kathy Rummer,Kathy Rummer,2
Epstein News Articles PDF,Epstein News Articles PDF,1
FBI procedures and practices,FBI procedures and practices,1
FBI raid on Michael Cohen,FBI raid on Michael Cohen,1
Sweden,Sweden,1
European politics,European politics,1
MBS and Louvre visit,MBS and Louvre visit,1
HBJ and China strategy,HBJ and China strategy,1
media interview opportunity,media interview opportunity,1
Mick Mulvaney,Mick Mulvaney,2
Trump administration officials,Trump administration officials,2
"Bill Clinton, Prince Andrew, Donald Trump, and hundreds of other high-profile individuals","Bill Clinton, Prince Andrew, Donald Trump, and hundreds of other high-profile individuals",1
Russian elite sanctions,Russian elite sanctions,1
US News article on Russian sanctions,US News article on Russian sanctions,1
Chinatown film,Chinatown film,1
cryptocurrency investment,cryptocurrency investment,1
unauthorized use and disclosure of confidential communications,unauthorized use and disclosure of confidential communications,1
unknown person A (HOUSE_OVERSIGHT_027260) (HOUSE_OVERSIGHT_027260),unknown person A (HOUSE_OVERSIGHT_027260) (HOUSE_OVERSIGHT_027260),15
support,support,1
federal agencies,federal agencies,1
Mary Erdoes,Mary Erdoes,2
Mika Brzezinski,Mika Brzezinski,1
Woody Suki,Woody Suki,1
Trump rape lawsuit,Trump rape lawsuit,1
Washington Post article on naked mole rats,Washington Post article on naked mole rats,1
Milken event,Milken event,1
HOUSE_OVERSIGHT_027236,HOUSE_OVERSIGHT_027236,1
unspecified recipients of communications,unspecified recipients of communications,1
Dan Wattendorf,Dan Wattendorf,1
Wall Street 2 trip,Wall Street 2 trip,1
Kris Kobach,Kris Kobach,1
overseas charitable programs,overseas charitable programs,1
unknown person A (HOUSE_OVERSIGHT_027234),unknown person A (HOUSE_OVERSIGHT_027234),1
himself and associates,himself and associates,1
Geoffrey Ling biography,Geoffrey Ling biography,1
naked mole rat biology research,naked mole rat biology research,1
Milken Conference,Milken Conference,1
Geoffrey Ling,Geoffrey Ling,5
Donald Trump's behavior,Donald Trump's behavior,1
MIT Media Lab,MIT Media Lab,3
"Bill Hellman, Geoffrey Ling, Joi Ito, Ed Boyden, Caleb","Bill Hellman, Geoffrey Ling, Joi Ito, Ed Boyden, Caleb",1
document_HOUSE_OVERSIGHT_032368,document_HOUSE_OVERSIGHT_032368,1
unknown entity,unknown entity,1
